Station,Latitude,Longitude,Elevation,Abbreviation
129080,38.7436,-85.0761,150.9,IN
129113,38.7386,-87.4878,137.2,IN
129253,38.6489,-87.1989,152.4,IN
129511,41.1947,-87.0578,202.7,IN
129557,39.9961,-86.3542,289,IN
129670,41.0267,-86.5867,210.3,IN
130112,41.0656,-92.7867,268.2,IA
130133,43.0683,-94.3053,377.6,IA
130600,41.8814,-92.2764,246.9,IA
131402,43.0775,-92.6714,309.1,IA
131533,40.7244,-95.0192,298.7,IA
131635,41.7947,-90.2639,178.3,IA
132724,43.43,-94.8219,396.8,IA
132789,41.0211,-91.9553,225.6,IA
132864,42.8503,-91.8158,344.4,IA
132977,43.2844,-93.6306,396.2,IA
132999,42.5836,-94.2006,347.5,IA
134063,41.3656,-93.6481,287.1,IA
134142,42.5189,-93.2536,344.4,IA
134735,42.7817,-96.1458,364.2,IA
134894,41.6381,-95.7883,301.8,IA
135769,40.7053,-94.2428,359.7,IA
135796,40.9486,-91.5647,222.5,IA
135952,43.0453,-92.3122,349.9,IA
137147,43.43,-96.1686,411.5,IA
137161,42.3969,-94.6292,364.2,IA
137979,42.6347,-95.1694,434.3,IA
138296,42.0356,-92.5806,289.3,IA
138688,41.2828,-91.7067,210.3,IA
140264,37.155,-98.0283,408.4,KS
140365,37.1942,-99.7633,600.5,KS
140405,39.5756,-95.1108,288,KS
141704,37.2706,-99.3272,634.9,KS
141740,37.1764,-94.8397,275.8,KS
141867,38.6758,-96.5097,402.3,KS
142401,37.8183,-96.8444,393.2,KS
142459,38.7278,-98.2267,466.3,KS
142835,37.8428,-94.7086,257.6,KS
143527,38.8586,-99.3358,612.6,KS
143810,39.6703,-95.5225,313.9,KS
143954,37.2364,-95.7003,245.4,KS
144087,38.1964,-99.9181,740.7,KS
144464,37.9411,-101.2492,913.8,KS
144530,38.1817,-99.0994,608.1,KS
144559,38.9583,-95.2514,306.3,KS
144588,39.3256,-94.9189,265.2,KS
144695,37.0222,-100.9294,863.8,KS
144972,39.1972,-96.5814,324.6,KS
145152,38.3772,-97.6097,463.3,KS
145173,37.2767,-98.58,448.1,KS
145363,39.1247,-97.7047,402.9,KS
145856,39.7408,-99.8356,719.3,KS
145906,39.8183,-100.5331,795.5,KS
145972,38.8875,-94.7603,321.6,KS
146128,38.6133,-95.2808,280.1,KS
147093,39.7675,-101.8097,1024.7,KS
147271,38.4819,-100.9189,905.3,KS
147305,37.1317,-96.1861,274.3,KS
147542,39.7772,-98.7783,542.5,KS
148495,39.0297,-99.8831,749.8,KS
150254,38.4536,-82.6131,170.7,KY
150381,36.8825,-83.8819,301.8,KY
150619,37.5733,-84.2908,326.1,KY
150909,36.9647,-86.4239,160.9,KY
152791,38.1167,-83.55,207.3,KY
153028,38.2022,-84.8825,140.8,KY
153430,37.2592,-85.5022,179.8,KY
153762,37.7558,-87.6456,136.9,KY
153994,36.8492,-87.5206,158.5,KY
154703,37.5108,-86.2892,189,KY
157324,38.2,-85.2,222.5,KY
158709,36.7333,-84.15,286.5,KY
158714,38.6586,-84.6106,286.5,KY
160098,31.3206,-92.4611,26.5,LA
160205,30.7094,-90.525,51.8,LA
160537,32.7689,-92.0056,45.7,LA
160549,30.5372,-91.1469,19.5,LA
161287,30.9594,-92.1786,24.4,LA
161411,32.5133,-92.3478,54.9,LA
162151,30.5272,-90.1114,12.2,LA
162534,30.0717,-91.0275,9.1,LA
163313,29.8233,-91.5442,3.7,LA
163800,30.4192,-92.0439,16.8,LA
164407,29.5858,-90.7303,4.6,LA
164700,30.2003,-92.6642,7.6,LA
165026,30.205,-91.9875,11.6,LA
166664,29.9167,-90.1303,6.1,LA
167344,32.9078,-93.7981,88.4,LA
168163,31.9497,-91.2336,23.8,LA
169013,29.7758,-90.78,4.6,LA
169806,32.0994,-91.7019,24.4,LA
170100,44.3739,-68.2592,143.3,ME
170814,45.6603,-69.812,323.1,ME
171628,44.9197,-69.2417,90.5,ME
172426,44.9067,-66.9919,25.9,ME
172765,44.6889,-70.1567,128,ME
173046,44.2203,-69.7889,42.7,ME
173944,46.2061,-67.8417,118.9,ME
174566,44.1,-70.2167,54.9,ME
175304,45.6503,-68.705,109.7,ME
176905,43.6497,-70.3003,13.7,ME
176937,46.6539,-68.0089,182.6,ME
179891,45.1572,-67.4044,42.7,ME
180700,39.0303,-76.9314,44.2,MD
181385,38.5667,-76.0667,3,MD
181750,39.2167,-76.0519,12.2,MD
182282,39.6419,-78.7561,222.5,MD
182523,38.8833,-75.8,14.9,MD
183675,38.9689,-76.8042,45.7,MD
185111,39.0847,-76.9003,121.9,MD
